,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,modularity_p,global_efficiency_p,largest_cc_p,avg_clustering_p
0,covid,0.05,0.3539436801667923,0.0049699331102084,0.2249245860888472,0.0027768667241221,0.4446640319547537,0.0063486021143,0.5348310326738454,0.0100361748826673,0.9434523809523808,0.007004084682953,400,3990,0.004299643247074909,0.7855152478983309,0.0614262480632406,0.25390363961907914,0.007693499794694188
1,covid,0.059,0.3548992365135981,0.0053879566142564,0.2395408493555738,0.0026528772144052,0.4495585176469782,0.0067132826534534,0.5117613065830677,0.0098982753210625,0.9554761904761904,0.005826793038609,400,4706,0.0021939225919441587,0.9758775206790925,0.024414357231100903,0.23439909567400963,0.0069383190843877555
2,covid,0.0679,0.3539369405356778,0.0057088897350559,0.2505153578624164,0.0027062310827419,0.4513540575317754,0.0068681283463114,0.4920739280329487,0.0100504611441067,0.9611904761904762,0.0054079849939955,400,5422,0.0008943172517677601,0.9483372483499037,0.0046638250004167455,0.4918240310948132,0.003647566644518024
3,covid,0.0769,0.3534228665306449,0.0059567921511434,0.2596924283450557,0.0027690145630866,0.4523500763149727,0.0069359709646105,0.4749191846791613,0.0097893421427489,0.9652380952380952,0.0050154307836278,400,6138,0.0010755279628966632,0.9965534171038307,0.0012518757095686395,0.6939475445430263,0.002917979850313362
4,covid,0.0859,0.3513261284193001,0.0062679319542582,0.2677379229557801,0.0028144862815063,0.4509703937991537,0.0070560752734658,0.4579424252299781,0.0096343436382209,0.9693452380952382,0.0044789912746941,400,6854,0.0006334909855529578,0.9345881661074164,0.0006749042959898992,0.7259646288498665,0.0019535838499846
5,control,0.05,0.372339921491154,0.0043613875038973,0.2314368825551437,0.0026254030822119,0.4693127480207048,0.0049892944546858,0.5305295995472371,0.0107494823000164,0.938806818181818,0.0063114175675563,400,3990,0.004299643247074909,0.7855152478983309,0.0614262480632406,0.25390363961907914,0.007693499794694188
6,covid,0.0949,0.3486310259143114,0.0065617204718109,0.2746795859687861,0.0028883035708748,0.448662447508049,0.0072535735393151,0.4435328353459309,0.0095901336413599,0.9726785714285714,0.0040732668305056,400,7570,0.0005757832255987028,0.8798272128944683,0.0003778585158545618,0.8319637443829814,0.0016381033792190944
7,control,0.059,0.3757993537648134,0.0047921368822998,0.2473859819196831,0.0024895131239589,0.4770087839900359,0.0052905922711596,0.5101971154334392,0.0104569498714371,0.9507386363636364,0.0054067386175401,400,4706,0.0021939225919441587,0.9758775206790925,0.024414357231100903,0.23439909567400963,0.0069383190843877555
8,covid,0.1038,0.345796904055445,0.0068653332790903,0.2805188109924065,0.0029851074887472,0.4461407696837539,0.0074257211842336,0.4301002107201248,0.0093340971275652,0.9750595238095237,0.0038497578619321,400,8286,0.00039046689577531624,0.9003095873895746,0.00022899570663135555,0.9758213572033235,0.0012146021073197353
9,control,0.0679,0.3784801409177767,0.0053220606780643,0.2609766776106625,0.0024194784956579,0.4826897566788842,0.005661903694169,0.4906551552395596,0.0103458196131189,0.9615340909090908,0.0044494230092804,400,5422,0.0008943172517677601,0.9483372483499037,0.0046638250004167455,0.4918240310948132,0.003647566644518024
10,covid,0.1128,0.3433567566316411,0.0071238858563765,0.2856093460939829,0.0030993108825193,0.4433278349231506,0.0075889710931193,0.4183313810926387,0.0092218699131734,0.976904761904762,0.0036739352081407,400,9003,0.0003537751837300296,0.9140023454960049,0.0002067752891220139,0.8760888082003232,0.001143111522075105
11,control,0.0769,0.3804333559071285,0.0057232383308125,0.2723818594905737,0.0024042088749705,0.4858773658588581,0.0059608125291993,0.4731964506708424,0.0102049005461649,0.96875,0.003726250552743,400,6138,0.0010755279628966632,0.9965534171038307,0.0012518757095686395,0.6939475445430263,0.002917979850313362
12,control,0.0859,0.3813825881772805,0.0061264860559157,0.2814978038029863,0.002391966756642,0.4877784026220416,0.0063533533268221,0.4574934217384789,0.0097857395953515,0.9730113636363636,0.0032136993948895,400,6854,0.0006334909855529578,0.9345881661074164,0.0006749042959898992,0.7259646288498665,0.0019535838499846
13,control,0.0949,0.3806096569486806,0.0065516561009361,0.2897186178061522,0.0024755998824651,0.487188153221431,0.0067199593595755,0.4444450342459113,0.009563564673208,0.9764772727272728,0.0029263494867423,400,7570,0.0005757832255987028,0.8798272128944683,0.0003778585158545618,0.8319637443829814,0.0016381033792190944
14,control,0.1038,0.3803004530881768,0.0068282717636089,0.2969572735922944,0.0026043733980224,0.486765804138154,0.0070258710080768,0.4305482964474595,0.00944774466031,0.9796022727272728,0.00261850236484,400,8286,0.00039046689577531624,0.9003095873895746,0.00022899570663135555,0.9758213572033235,0.0012146021073197353
15,covid,0.1218,0.3404076770940585,0.0073003893133706,0.2902661268229254,0.0032042902780513,0.4400219616074609,0.0076702357392448,0.4050260133715019,0.0089946943493804,0.9788095238095238,0.0034382284790231,400,9719,0.000309853306968469,0.7264191321209419,0.00015701336703892086,0.9240750850929852,0.0006965420339033317
16,covid,0.1308,0.3384021868104546,0.0075121856774873,0.2940001002898924,0.0033172358768626,0.4373265072118414,0.0077934234595698,0.3938491545433946,0.008801402663019,0.979404761904762,0.0034140000418128,400,10435,0.0003311334258993076,0.656373634476648,0.00011457123332953408,0.7881622858102795,0.000840501015028277
17,control,0.1128,0.3797302004395804,0.0071684225534543,0.3034238341061895,0.0027721209783015,0.4858924147699432,0.0073923700678263,0.4188615443473651,0.0089960034033254,0.9822159090909092,0.0023026663111071,400,9003,0.0003537751837300296,0.9140023454960049,0.0002067752891220139,0.8760888082003232,0.001143111522075105
18,covid,0.1397,0.3355479687975591,0.0076399695413364,0.2974188357179846,0.003428382301634,0.4336867760327542,0.0078826110902439,0.3854912681735959,0.0087703884359008,0.980059523809524,0.0033844801506719,400,11151,0.00029969998601540887,0.7921655821527664,0.00011457123332953408,0.7647292660283352,0.0006334909855529578
19,covid,0.1487,0.3328415668994301,0.0078430110627473,0.3005503500617483,0.0035445536804699,0.4300278410614361,0.0080160747073219,0.3753664880851977,0.008484233539724,0.980952380952381,0.0033033862892699,400,11867,0.0002450339629024018,0.656373634476648,0.00011058972997245565,0.5785896225323033,0.0004903573605209621
20,control,0.1218,0.3787210876758564,0.0073793680094377,0.3088685319885462,0.0028979674292313,0.4841797497339694,0.0076230784483765,0.4083283852735799,0.0088752457689355,0.9836363636363636,0.0021492817628613,400,9719,0.000309853306968469,0.7264191321209419,0.00015701336703892086,0.9240750850929852,0.0006965420339033317
21,covid,0.1577,0.3306383473099297,0.0080271251463942,0.3032522615781882,0.0036737543090744,0.4267703566519999,0.008117271430413,0.366647029884895,0.0083573493640964,0.9813690476190476,0.0033186350910115,400,12583,0.00023688750863450918,0.7006448435423338,9.593197060428693e-05,0.6114922214540421,0.0005757832255987028
22,control,0.1308,0.3773566179197884,0.007564307893071,0.3140582109533489,0.0031072892173842,0.4819450041665502,0.0077993016702717,0.3978808201300128,0.0086235878848501,0.9853977272727272,0.0017948488294626,400,10435,0.0003311334258993076,0.656373634476648,0.00011457123332953408,0.7881622858102795,0.000840501015028277
23,covid,0.1667,0.3283848720668564,0.0081378924495922,0.3056670615072731,0.0037883762955767,0.4236542543619584,0.0081897882891112,0.3584988884940981,0.0085189844197886,0.9817261904761904,0.003298594594438,400,13300,0.00027107816156972956,0.8391160925001246,8.931051905900374e-05,0.44208880981155296,0.0006538928141349498
24,covid,0.1756,0.3260489287095027,0.008316403009796,0.3078309523886598,0.003896224168522,0.4203829145032528,0.0083415857007529,0.3502159360222662,0.0082174282535155,0.9820833333333334,0.0032882976674122,400,14016,0.0002450339629024018,0.6689082979913126,8.01825883334235e-05,0.46573485677165305,0.0006538928141349498
25,control,0.1397,0.3761388151835305,0.0077934096172413,0.3185087803967292,0.003272354881048,0.4798484954993768,0.0080419113247936,0.3881781311308832,0.0084653645835469,0.986306818181818,0.0016826023900398,400,11151,0.00029969998601540887,0.7921655821527664,0.00011457123332953408,0.7647292660283352,0.0006334909855529578
26,control,0.1487,0.3750274423651802,0.0080124656781979,0.3226529234220824,0.003428926121102,0.4776495675859769,0.0082769052715158,0.3794321078853764,0.0082975126004594,0.9874431818181816,0.0016574724288972,400,11867,0.0002450339629024018,0.656373634476648,0.00011058972997245565,0.5785896225323033,0.0004903573605209621
27,covid,0.1846,0.3238246558074893,0.0084491950243716,0.3097911391715199,0.0040061020761578,0.4171944371985993,0.0084523266261345,0.3422494723323387,0.0082093505418197,0.982261904761905,0.00328279019711,400,14732,0.00025344265891351256,0.656373634476648,6.937736895500089e-05,0.436878640274865,0.0006538928141349498
28,control,0.1577,0.3738143924918733,0.0082515924168431,0.3262744420393786,0.0035878489506779,0.4753640568548118,0.0085055578693651,0.3709207377627971,0.0081728970846261,0.9879545454545454,0.0016354809947374,400,12583,0.00023688750863450918,0.7006448435423338,9.593197060428693e-05,0.6114922214540421,0.0005757832255987028
29,covid,0.1936,0.3214898613385125,0.0085150641214643,0.3115438307848794,0.0041166513513461,0.4137437863274475,0.0084963417401246,0.3347696610932321,0.0082076203428267,0.9825000000000002,0.0032656825534155,400,15448,0.00023688750863450918,0.6377525473580441,6.450618932207127e-05,0.33449517239606374,0.0007188230306397219
30,control,0.1667,0.3722803557862348,0.0084172009832013,0.3295790911798948,0.003725382018381,0.4725821635020505,0.0086545446448262,0.362324728294402,0.0080643823058162,0.9887500000000002,0.0016200656169753,400,13300,0.00027107816156972956,0.8391160925001246,8.931051905900374e-05,0.44208880981155296,0.0006538928141349498
31,control,0.1756,0.3711936876341593,0.0086527062960646,0.3324813896211064,0.0038792869654202,0.4702171584731278,0.0088868303401856,0.355565057539824,0.0077607427410734,0.9889772727272728,0.001569083613028,400,14016,0.0002450339629024018,0.6689082979913126,8.01825883334235e-05,0.46573485677165305,0.0006538928141349498
32,covid,0.2026,0.3195483672414771,0.0086537644675173,0.3130610700363371,0.0042131823471161,0.4105773990630468,0.0086015439523285,0.3293782429000317,0.0078905505103475,0.982559523809524,0.0032672966550717,400,16164,0.00029969998601540887,0.6878836276431053,7.459516983261439e-05,0.3342433232637845,0.0008670220495218715
