,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_clustering_p,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_pc,avg_pc_ste
0,covid,0.05,0.2207066139496702,0.0058876386761585,0.1073878934309339,0.0030731228252222,0.2275008084640979,0.0056731138059522,0.5801282051282051,0.0179556859590021,52,66,0.1294682217052701,0.4310204648495732,0.1708950048131358,0.0945814891908405,0.7762527657884272,0.0108688358241706
1,control,0.05,0.2355943837236362,0.0074688692354965,0.1149708793085873,0.0029514572930849,0.2418901914062627,0.0071098611480423,0.5952797202797202,0.0156850744432303,52,66,0.1294682217052701,0.4310204648495732,0.1708950048131358,0.0945814891908405,0.7256475289016593,0.0159432148780009
2,covid,0.059,0.2426824777998966,0.0070874548439061,0.1322375479346586,0.0036558802690177,0.254610208101475,0.0068244662850733,0.6634615384615384,0.0183978210648941,52,78,0.1603513209838007,0.9482450107583364,0.1189019999163013,0.1708950048131358,0.803041100855983,0.0095158235708704
3,control,0.059,0.257558399412823,0.0062242457741703,0.1389298787943455,0.0031988433205414,0.271949958516245,0.0064153714566195,0.6647727272727272,0.0156539047193004,52,78,0.1603513209838007,0.9482450107583364,0.1189019999163013,0.1708950048131358,0.750408788866308,0.014317414555137
4,covid,0.0679,0.2708447201700221,0.0074619612396116,0.1510390550691529,0.0037246624827717,0.2853934034394775,0.0072778838248415,0.7046703296703297,0.0170563546720472,52,90,0.3530301344760956,0.3090463779499892,0.1148697400847574,0.0233399442862251,0.8177000683243214,0.0086629376813656
5,control,0.0679,0.277917822902278,0.0063398232450363,0.1642062321107668,0.0035170834539965,0.2982707639220567,0.0064074065830801,0.736451048951049,0.0149827768806255,52,90,0.3530301344760956,0.3090463779499892,0.1148697400847574,0.0233399442862251,0.7725237283088852,0.0132359831418265
6,covid,0.0769,0.2867711482512908,0.0065709836868007,0.1728088464013759,0.0044440221247208,0.3050669757818977,0.006582910072571,0.7577838827838828,0.018085321584314,52,102,0.3530301344760956,0.8999757765007407,0.1430938999788752,0.096298257383081,0.8310181184670601,0.0080828462826635
7,control,0.0769,0.2934200491862388,0.0059688548512776,0.1824003389257372,0.0034612787368532,0.3183936042703546,0.0060818104571779,0.7666083916083917,0.0148934082182703,52,102,0.3530301344760956,0.8999757765007407,0.1430938999788752,0.096298257383081,0.7878938136084706,0.0121364113413043
8,covid,0.0859,0.2980961568041591,0.0059429933686058,0.1873647945743708,0.0044480113661206,0.3186780234154377,0.0060884143836656,0.7825091575091576,0.0171625512935586,52,113,0.2314831426390418,0.8488460321771865,0.0332050972676026,0.1015985367571905,0.8424557989061104,0.0076885699039802
9,control,0.0859,0.3079721175038231,0.0061840212861068,0.1969103031067835,0.0034132178996182,0.339239878461273,0.0065835601580341,0.7906468531468532,0.0140706560966261,52,113,0.2314831426390418,0.8488460321771865,0.0332050972676026,0.1015985367571905,0.8010727380687921,0.0121705621596999
10,covid,0.0949,0.3112359469055146,0.0062553467248884,0.2030691739322613,0.0045807369489555,0.3357181666870942,0.0064428421103911,0.8099816849816851,0.0163199349159643,52,125,0.1629399713276723,0.9896141097200172,0.0278986040906496,0.1430938999788752,0.8527026320176923,0.0074982856632592
11,control,0.0949,0.324733249296659,0.0063551181122053,0.2118533517132372,0.0035298460683346,0.3597029397086145,0.0064244507599563,0.8133741258741259,0.0126609452796398,52,125,0.1629399713276723,0.9896141097200172,0.0278986040906496,0.1430938999788752,0.812321233891495,0.0118423986531914
12,covid,0.1038,0.3211605164264762,0.0061280595829227,0.2176852022307866,0.0045317501433023,0.3503370119947483,0.0064985445882174,0.8342490842490843,0.0149628260645864,52,137,0.2056342262308506,0.8862159278974238,0.0590671245660875,0.1316664310673433,0.8611043269205296,0.0070317607489464
13,control,0.1038,0.3343795083760735,0.0063755247805422,0.2255411339002979,0.003616428264586,0.3715118586152004,0.0066909817873857,0.834353146853147,0.0132742843777265,52,137,0.2056342262308506,0.8862159278974238,0.0590671245660875,0.1316664310673433,0.8234590366336628,0.0114262179133795
14,covid,0.1128,0.3334932784914733,0.006093031869866,0.2283394905843724,0.0044368600927285,0.3660755396605624,0.0068181166301522,0.8498168498168497,0.0138916440147677,52,149,0.4706733051928613,0.9136792794420416,0.1847943216086534,0.0676669857853302,0.8690502368773277,0.0065886425126349
15,control,0.1128,0.3417363854880739,0.0064583464533704,0.237551569700463,0.0038375776005767,0.3822167337698681,0.0070240855818994,0.8483391608391607,0.0132598860371742,52,149,0.4706733051928613,0.9136792794420416,0.1847943216086534,0.0676669857853302,0.8339261245716098,0.0108657508561037
16,covid,0.1218,0.3454728826495292,0.0063619819482396,0.2406758261769676,0.0045997534185442,0.3788597532231411,0.0071096945665301,0.8695054945054946,0.0135601610581983,52,161,0.6254633660341771,0.9446296426713002,0.2215318112087854,0.0418949661270229,0.878604149127519,0.0059015283463278
17,control,0.1218,0.3526531247142168,0.0067549441792007,0.2508937934725244,0.004043924443297,0.3955743839994749,0.0067193665768028,0.8688811188811186,0.0132462914421702,52,161,0.6254633660341771,0.9446296426713002,0.2215318112087854,0.0418949661270229,0.8400813784308262,0.0107465964442411
18,covid,0.1308,0.3547273904543249,0.0063279533211679,0.2507271479687232,0.0044701670484166,0.3904116079371714,0.0071078266217353,0.881868131868132,0.012813502606107,52,173,0.7855152478983309,1.0,0.2487665819653,0.0194423823085281,0.8843666412097487,0.0059970981689603
19,control,0.1308,0.3594927494737857,0.0070880117002492,0.2610656411416232,0.004035700903796,0.4051784283525339,0.0070789080988526,0.8793706293706293,0.0128375084808477,52,173,0.7855152478983309,1.0,0.2487665819653,0.0194423823085281,0.8476666013985983,0.0100877940613473
20,covid,0.1397,0.3586649170571219,0.0058209423570861,0.2606779332973267,0.0043561736647225,0.3969660534436745,0.0067271161609214,0.8965201465201466,0.0112892512494728,52,185,0.5086708862890612,0.7675600644501159,0.096298257383081,0.0083073747957266,0.8893484974147613,0.0058449097073817
