,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,num_nodes,num_edges
0,covid,0.04,0.1942917830483972,0.0059896564956311,0.0800529166642074,0.0022341023285466,0.1971783756309889,0.0056425046743522,0.5968418032831776,0.0158508108600106,52.0,53.0
1,control,0.04,0.2002522685103636,0.0066669691956018,0.0856759747212151,0.0025296565967957,0.2013569154462489,0.0060816529078276,0.611240407284176,0.011246296052693,52.0,53.0
2,covid,0.0455,0.2090335877650988,0.0054105511749796,0.0948285569066394,0.0025531062226936,0.214318909045873,0.0050977720804104,0.5782042933254152,0.0151678569423907,52.0,60.0
3,control,0.0455,0.217312621048943,0.0070672473901233,0.1026234436225294,0.0030022538579455,0.2216157204596893,0.0066012778300174,0.5923319255355417,0.0109494934201859,52.0,60.0
4,covid,0.051,0.2249462795053506,0.0061261181136642,0.109961962112974,0.0031718212019596,0.2322473911105492,0.0059735846723805,0.5589159966681272,0.0144500455861161,52.0,67.0
5,control,0.051,0.2372413083270009,0.0074154914691514,0.1167421773669123,0.0030918779022325,0.2441514696126009,0.0072634514203944,0.5753979835988257,0.0108772689418533,52.0,67.0
6,covid,0.0566,0.2346311240599431,0.0065898051765008,0.1223956732792639,0.0035196181513728,0.2457084319375554,0.0065247521295471,0.5394350136268119,0.0140917568142484,52.0,74.0
7,control,0.0566,0.2528435519714015,0.0064769560162311,0.1311404927391601,0.002999704334792,0.2639244231574855,0.0064181800987394,0.554937376431716,0.0102073074997916,52.0,74.0
8,covid,0.0621,0.2552437539152558,0.0069741828382949,0.137635769989374,0.003759860017014,0.2677952623922701,0.0066770879951171,0.5238275613308947,0.0138773332956102,52.0,82.0
9,control,0.0621,0.2601256135435972,0.0058692310515191,0.1498245683700211,0.003105203900401,0.2771554386948806,0.006118497337795,0.5395885781321135,0.0096426222370425,52.0,82.0
10,covid,0.0676,0.2645046050332534,0.0072007181999184,0.1497917259353605,0.0037329922672746,0.2789755316792563,0.0071053592268077,0.5091814686812001,0.0134391724631094,52.0,89.0
11,control,0.0676,0.2761426173598115,0.0064522221986893,0.1615505699815231,0.0035550494015124,0.295865039873896,0.0065635741498964,0.5235605068764415,0.0097524555627873,52.0,89.0
12,covid,0.0731,0.2824867630920256,0.0071441539600035,0.1613675482761843,0.0041789795124474,0.2986397666912841,0.0071552431807977,0.497067728998146,0.0130456811877688,52.0,96.0
13,control,0.0731,0.2885326347379894,0.0060632108901588,0.1734015067312988,0.0036860630316936,0.3115320411677957,0.0062620519156962,0.5125128948829492,0.0096545588965264,52.0,96.0
14,covid,0.0786,0.2888333396909526,0.0066900911595976,0.1759544668874198,0.0043071336451491,0.3073636720428822,0.0067099672118979,0.4833697682087199,0.0123835044718882,52.0,104.0
15,control,0.0786,0.2960892146826202,0.00594167307732,0.1853592006977466,0.0035365400505207,0.3221448824888241,0.006162594618738,0.4957996043023164,0.0088632266692616,52.0,104.0
16,covid,0.0841,0.2975953643446721,0.0063817710829324,0.1844544076916278,0.0044330964633795,0.3177454968152563,0.006558023048507,0.473082508997576,0.0119983429291181,52.0,111.0
17,control,0.0841,0.3055659079998249,0.0061813589110453,0.1941960951122413,0.0034449135634319,0.3358244559280746,0.006521561683324,0.4823835529802328,0.0094754996620313,52.0,111.0
18,covid,0.0897,0.3052423251456425,0.0062496182483159,0.1931904794504479,0.004445090450936,0.3271613135175109,0.0061677341466462,0.4626431888962693,0.0117118076841717,52.0,118.0
19,control,0.0897,0.3149375219746866,0.0059725893701313,0.2037964928862168,0.0036916329951799,0.3479312386060961,0.0064082740720441,0.4727976960660758,0.0092207136813319,52.0,118.0
20,covid,0.0952,0.3131399041316865,0.0061611162505733,0.2047024989938489,0.0045154741570762,0.337830294430961,0.006410980382445,0.4499881881053708,0.0118235711780193,52.0,126.0
21,control,0.0952,0.3255494733437817,0.0063762056290633,0.212911109840353,0.0035209238224347,0.360831811249341,0.0064351506287879,0.4594440806654807,0.0088830665301625,52.0,126.0
22,covid,0.1007,0.3205976316183241,0.006219723067728,0.2127814086622965,0.0046263343201689,0.3485567340004175,0.0065758880176107,0.4397393425204937,0.0115994736214676,52.0,133.0
23,control,0.1007,0.3327654034911104,0.0064801577728831,0.2200869856451392,0.0037066677432088,0.3687775919529292,0.0066707418288047,0.450652163873984,0.0087193672938296,52.0,133.0
24,covid,0.1062,0.3264668542572443,0.0057372371988202,0.2207638481705832,0.0044623172557694,0.3567967713854936,0.0063666311723883,0.4323739260731652,0.0110853918976178,52.0,140.0
25,control,0.1062,0.3357092346194792,0.0066697112037608,0.2286515024333201,0.003654761671632,0.3735944716103494,0.0068659287918336,0.4405141386792184,0.0088140144593361,52.0,140.0
26,covid,0.1117,0.3325209610927822,0.0059056448949521,0.2280656265068208,0.0045051886199513,0.3645702367433235,0.0066083354092141,0.4225413649957635,0.011219989500391,52.0,148.0
27,control,0.1117,0.3408555169516175,0.0063658248211664,0.2365866044923447,0.0038333047792833,0.3810701494049567,0.0068978887033665,0.4323551220297501,0.0086773207538224,52.0,148.0
