,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,largest_cc_p,global_efficiency_p,avg_clustering_p,avg_local_efficiency_p,avg_pc,avg_pc_ste
0,covid,0.05,0.3009337861440164,0.0057151842069127,0.1514335145761844,0.00353689804684,0.3315418172054213,0.0060999730970075,0.7540554683411828,0.0153276978582228,91,204,0.8086805094826865,0.1503069023997764,0.9071525172140046,0.607223971906161,0.5842655261371712,0.0117609791256182
1,control,0.05,0.2984277527089159,0.0057149063444366,0.1562488348934455,0.0038510658942186,0.3354706811347219,0.0059241759474069,0.749000999000999,0.0194995398250431,91,204,0.8086805094826865,0.1503069023997764,0.9071525172140046,0.607223971906161,0.5397860322665018,0.0132106926022465
2,covid,0.059,0.3210112449007248,0.0060132193032295,0.1758690687731722,0.0039424089529393,0.3588506723895207,0.0063477856247967,0.8050758765044479,0.0152700067404818,91,241,0.5592028680259826,0.152771859515212,0.6132773944088556,0.3183557377761967,0.6107936114622092,0.0113698239200479
3,control,0.059,0.3232919627847408,0.0060847088723239,0.1824272723466508,0.0041970102816066,0.3670558563542979,0.0065251521961694,0.8029470529470529,0.0182450984046095,91,241,0.5592028680259826,0.152771859515212,0.6132773944088556,0.3183557377761967,0.5675305924105482,0.0128533314809416
4,covid,0.0679,0.3345246515527138,0.0058327983430908,0.1963179114389763,0.0039617873193714,0.3777682104482459,0.0065046172556302,0.8409209837781265,0.0143128021882729,91,278,0.7985127424596768,0.096298257383081,0.331088103749388,0.1168722142419161,0.6322138032416413,0.0113726229334453
5,control,0.0679,0.3410995781245393,0.0055483760921535,0.205045156100082,0.003600306551602,0.3910371630595148,0.0059943718978403,0.8471528471528472,0.0122750059271057,91,278,0.7985127424596768,0.096298257383081,0.331088103749388,0.1168722142419161,0.5931922813080573,0.0123456734047487
6,covid,0.0769,0.347050320468578,0.0059955541348353,0.2128246010767208,0.0040954771401304,0.3948894345744185,0.006536502176267,0.8639455782312925,0.0136654494262318,91,315,0.8728192498745277,0.0534966530486671,0.0744201814177902,0.0218053312806511,0.6516924158971619,0.01148212839471
7,control,0.0769,0.3586298117360157,0.0052006461151587,0.2223412989396476,0.0036196384539737,0.4130698327521344,0.0056674757889731,0.8686313686313686,0.0117300465729092,91,315,0.8728192498745277,0.0534966530486671,0.0744201814177902,0.0218053312806511,0.6138819613906973,0.0120346718294697
8,covid,0.0859,0.3592461608005176,0.0062000679881362,0.2283763500506157,0.003881636873199,0.4118414926171477,0.0069162198477646,0.8890633176347461,0.0121927351004284,91,351,0.9896343170106372,0.0427727115687419,0.1251574095382451,0.0346593593820107,0.6673169130043294,0.0113077052718973
9,control,0.0859,0.3690776874556716,0.005102471908142,0.239050478537974,0.0035171608543705,0.4286027793516762,0.0055673814949551,0.892857142857143,0.0103766645407303,91,351,0.9896343170106372,0.0427727115687419,0.1251574095382451,0.0346593593820107,0.6306022782992025,0.0118028955042417
10,covid,0.0949,0.3684348070514736,0.006356801794194,0.2416478387511301,0.0038489931336801,0.4239397516596469,0.0070681171893409,0.9058084772370484,0.0114236085788401,91,388,0.6709791581871666,0.0169046760247,0.1189019999163013,0.0524369128141922,0.6817369403915201,0.0110161918245704
11,control,0.0949,0.379737952954402,0.0051408164292651,0.2533385987321369,0.003485393239678,0.4423411592939452,0.005625740430933,0.9065934065934064,0.0094674782322801,91,388,0.6709791581871666,0.0169046760247,0.1189019999163013,0.0524369128141922,0.646485402011799,0.0121910769665939
12,covid,0.1038,0.3724444513870683,0.0067128105794866,0.2535766349908856,0.0038461713440289,0.4306713915114529,0.007368996033107,0.9175824175824177,0.0105065269519943,91,425,0.9930868797355572,0.0143154138701061,0.1109458451090715,0.0189976120417397,0.6936945204976714,0.0109813184093343
13,control,0.1038,0.3864443301500171,0.0055535130630038,0.2661835394491024,0.0035445009016886,0.4525496836216884,0.0060726417018537,0.9205794205794204,0.0088783571267262,91,425,0.9930868797355572,0.0143154138701061,0.1109458451090715,0.0189976120417397,0.6606032116023183,0.0122140460173432
14,covid,0.1128,0.3768198374064452,0.006841131593918,0.2638364602070645,0.0039215568624821,0.4373854379562109,0.0076614305396514,0.9272632129774986,0.009914530089888,91,462,0.8828411109156271,0.0126866470762958,0.0445749021701412,0.0112241071872468,0.7052684658890496,0.0106675983865958
15,control,0.1128,0.393767729643802,0.0055924459498581,0.2777099539718876,0.0035625988812384,0.4625316084283141,0.0060272173468949,0.93006993006993,0.0088658940259022,91,462,0.8828411109156271,0.0126866470762958,0.0445749021701412,0.0112241071872468,0.6743396605766523,0.0121408631500819
16,covid,0.1218,0.3808588127531822,0.0069258336070214,0.27213098064234,0.0041355445091228,0.4435094781196053,0.0077443138153526,0.933542647828362,0.0098799461378701,91,498,0.8862046455668021,0.0126866470762958,0.0567837049441457,0.0112241071872468,0.7161169792581729,0.0105354382507487
