,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,avg_clustering_p,largest_cc_p,global_efficiency_p,avg_pc,avg_pc_ste
0,covid,0.05,0.2434868514756039,0.0092842651574421,0.091464680186546,0.0032321780894938,0.2461991736946589,0.0088263935843878,0.4782168186423505,0.0176832210271959,47,54,0.3620587350270483,0.8256352698293017,0.0159609462819479,0.0020112899452021,0.7992396478341827,0.011266456656592
1,control,0.05,0.240916439856811,0.0071056646903519,0.1063358735793852,0.0031828739420613,0.2495935270701778,0.0070809742792324,0.5372340425531914,0.017342518220918,47,54,0.3620587350270483,0.8256352698293017,0.0159609462819479,0.0020112899452021,0.7797177414126907,0.0125419673014871
2,covid,0.059,0.2687161629533324,0.0089806993490046,0.1097269271188687,0.0034176296573434,0.2754073613996008,0.0084225938796976,0.5440729483282676,0.0184071611194876,47,63,0.0832405459903468,0.3758701873370554,0.0782897518199594,0.0051928148314675,0.8209199142859906,0.0104895391533647
3,control,0.059,0.2802611187311219,0.0073833215006665,0.1252456766968635,0.003592033226928,0.2936196477360618,0.0073349869228114,0.589458413926499,0.0176956105851074,47,63,0.0832405459903468,0.3758701873370554,0.0782897518199594,0.0051928148314675,0.8047483920346924,0.0116141924272175
4,covid,0.0679,0.2907452776207947,0.0075376306985822,0.1299338725924139,0.003741188920263,0.3004620570113939,0.0074624794726995,0.605369807497467,0.0176827027135277,47,73,0.0817142943822606,0.3996007013139859,0.1192298286794608,0.0042996432470749,0.8371516704794605,0.0093696756413636
5,control,0.0679,0.3009507202219225,0.0074896685265129,0.146498052215835,0.003624411822603,0.3210787974843763,0.0077262177178888,0.6450676982591875,0.0163092445669069,47,73,0.0817142943822606,0.3996007013139859,0.1192298286794608,0.0042996432470749,0.8243090803345171,0.0104626030997636
6,covid,0.0769,0.3016117074123621,0.0080585664295488,0.1526808764941349,0.0038082548634547,0.316100370255708,0.0081520584391926,0.6767983789260386,0.0166671762507145,47,83,0.021313685355129,0.1361495110318576,0.1046286512307025,0.0013701266908368,0.8522691150163627,0.0090512427198488
7,control,0.0769,0.3183113056206401,0.0073118384259488,0.1724654884595453,0.0041608598576063,0.3433728355411118,0.0076433494343136,0.713733075435203,0.0185204299940847,47,83,0.021313685355129,0.1361495110318576,0.1046286512307025,0.0013701266908368,0.8409714008918224,0.0092819931419022
8,covid,0.0859,0.3242738467869065,0.0078538763634693,0.1684756324805427,0.0042940591853435,0.3414374768520211,0.0080774603419483,0.7112462006079026,0.0174480742983582,47,92,0.0928893370056569,0.4921919700222001,0.1129811676425725,0.000320327998455,0.8647473997381965,0.007983504045266
9,control,0.0859,0.3308136431896213,0.008240444252392,0.1913895740931373,0.0042751957109948,0.3602594306230671,0.0085351258128149,0.7485493230174082,0.0181482560836766,47,92,0.0928893370056569,0.4921919700222001,0.1129811676425725,0.000320327998455,0.8547261492648556,0.0085664456472146
10,covid,0.0949,0.3349043180251072,0.008060962282616,0.1891289880453341,0.0043062017226364,0.3542197255474689,0.008248012845872,0.7634245187436678,0.0165119306522704,47,102,0.0249674561344318,0.2248142805110881,0.5271114025899715,0.0003778585158545,0.8760503971956536,0.0076077651631797
11,control,0.0949,0.3488242159196364,0.0089245254331677,0.2094483426228074,0.0041046192718908,0.3813228233834378,0.0091552445007474,0.7794970986460349,0.0157300322548252,47,102,0.0249674561344318,0.2248142805110881,0.5271114025899715,0.0003778585158545,0.8651509935741373,0.0081252772297487
12,covid,0.1038,0.3464713786234716,0.0075904586574892,0.2026100093168159,0.0045868778501068,0.3690020444762426,0.0083458061865471,0.7826747720364742,0.0158673048507412,47,112,0.0085215313026873,0.1272986186779608,0.5583657965493826,0.0010431402153276,0.8856341422058976,0.0068374519860962
13,control,0.1038,0.3651005756478117,0.0084351604680918,0.2232766875863286,0.0041962811152757,0.4023850712281906,0.008712201562463,0.797872340425532,0.0154663303594965,47,112,0.0085215313026873,0.1272986186779608,0.5583657965493826,0.0010431402153276,0.8754176289137617,0.0076627898966265
14,covid,0.1128,0.3550168476917869,0.0080403128079958,0.2147553422207518,0.0047581212547439,0.3811726675279442,0.0086891399154677,0.803951367781155,0.0152739672787115,47,121,0.021313685355129,0.2382913133300015,0.5613268857193813,0.0010755279628966,0.894033624133185,0.0064543692067054
15,control,0.1128,0.3720583174237681,0.0085589713911252,0.2364747040872429,0.0044937735977299,0.4127655253634666,0.0091641028441849,0.8186653771760156,0.014927625712951,47,121,0.021313685355129,0.2382913133300015,0.5613268857193813,0.0010755279628966,0.8839832607059086,0.0071406334578699
16,covid,0.1218,0.3615017244173518,0.0078488638896924,0.2274568999784914,0.0048500223280348,0.3902142297829883,0.0086895143896755,0.8237082066869302,0.0162626719175559,47,131,0.0069383190843877,0.0772713150935027,0.6461006564699955,0.000741764696985,0.9004908257962645,0.005940632489767
17,control,0.1218,0.3833849110552897,0.0078255458060612,0.2496357159221382,0.0044236561087501,0.428004966974973,0.0086261631023153,0.8370406189555125,0.0144250305463119,47,131,0.0069383190843877,0.0772713150935027,0.6461006564699955,0.000741764696985,0.8902081808574022,0.0065945363369419
18,covid,0.1308,0.3717075533395874,0.0074678127631195,0.2389830524066153,0.0050488256028933,0.4023864162888966,0.0086086286844404,0.8414387031408308,0.0160388938168871,47,141,0.0064163675691254,0.0832405459903468,0.6366450842562146,0.0009810552754915,0.9059533461714792,0.0055728288611026
19,control,0.1308,0.3917094976940664,0.0069914127234675,0.2628621410986571,0.0046166870993762,0.4391485144198385,0.007931022694056,0.8549323017408124,0.0138178237347348,47,141,0.0064163675691254,0.0832405459903468,0.6366450842562146,0.0009810552754915,0.8961306006732147,0.0062528849015252
20,covid,0.1397,0.3773557700232178,0.0074806966546405,0.2497535380182252,0.0051215816174609,0.4103989174772987,0.0085008622406101,0.8576494427558258,0.0148816901709896,47,151,0.0041841047368768,0.0651107800856061,0.808246346936244,0.0009513126435267,0.910271261005228,0.0054664815104485
